nombre,ciudad,direccion,telefono,whatsapp,web,google_maps_url,estado
"Clínica Dental San Rafael","Ciudad de México","Avenida Ribera de San Cosme 22 desp. 501,San rafael, Ciudad de mexico,ciudad de méxico,México, Cuauhtémoc 06470","525570959351","525570959351","https://www.doctoralia.com.mx/clinicas/clinica-dental-san-rafael","","PENDING"
"CEM COLIBRI","Ciudad de México","Calle Prinicipal 94 Colonia Benito Juárez Barrón Nicolás Romero, Nicolás Romero 54469","525548722949","525548722949","https://www.doctoralia.com.mx/clinicas/cem-colibri","","PENDING"
"Dentista en Azcapo 718","Ciudad de México","Av. Azcapotzalco 718 B, Azcapotzalco 02000","525645862269","525645862269","https://www.doctoralia.com.mx/clinicas/dentista-en-azcapo-718","","PENDING"
"ShinnyTooth","Ciudad de México","Avenida Erasmo Castellanos Quinto 349, Coyoacán 04400","525633031194","525633031194","https://www.doctoralia.com.mx/clinicas/shinnytooth","","PENDING"
"Clínica Dental Ulloa","Ciudad de México","5 de Mayo 71, Naucalpan Centro, Naucalpan de Juárez 53000","525553583516","525553583516","https://www.doctoralia.com.mx/clinicas/clinica-dental-ulloa","","PENDING"
"NUA Dental Studio","Ciudad de México","Félix Parra 47, Benito Juárez 03900","525536068626","525536068626","https://www.doctoralia.com.mx/clinicas/nua-dental-studio-2","","PENDING"
"The Dental Art Place","Ciudad de México","Sta. Margarita #108 Insurgentes San Borja, Consultorio 111, Benito Juárez 03100","525614482529","525614482529","https://www.doctoralia.com.mx/clinicas/the-dental-art-place","","PENDING"
"Medical & Dentistry","Ciudad de México","PILARES 108 INTERIOR 101 COL.DEL VALLE, Benito Juárez 03100","525579412263","525579412263","https://www.doctoralia.com.mx/clinicas/medical-dentistry","","PENDING"
"Clínica de Prevención del Riesgo Coronario","Ciudad de México","Mollendo 617, Ciudad de México 07300","525571607451","525571607451","https://www.doctoralia.com.mx/clinicas/clinica-de-prevencion-del-riesgo-coronario","","PENDING"
"EsSalud","Ciudad de México","Rabaul 446, Azcapotzalco 02060","525596909123","525596909123","https://www.doctoralia.com.mx/clinicas/essalud","","PENDING"
"MC Dent","Ciudad de México","C. Sor Juana Ines de la Cruz 43, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX, Cuauhtémoc 06400","525630166090","525630166090","https://www.doctoralia.com.mx/clinicas/mc-dent","","PENDING"
"Centro de Especialidades Médicas ( CEM )","Ciudad de México","Tuxpan 2 Int 1002 y 204 Colonia Roma Sur, Ciudad de México 06760","525552643343","525552643343","https://www.doctoralia.com.mx/clinicas/centro-de-especialidades-medicas-cem-3","","PENDING"
"Médica Taxqueña","Ciudad de México","Av. Ejido Santa Isabel Tola, esquina Calle D, Manzana I, Col. Educación, Coyoacán., Coyoacán 04400","525556898900","525556898900","https://www.doctoralia.com.mx/clinicas/medica-taxquena","","PENDING"
"Dent24","Ciudad de México","Calle Río Churubusco #594, Desp. 101, Col. El Carmen, Ciudad de México 04100","525574969044","525574969044","https://www.doctoralia.com.mx/clinicas/dent24","","PENDING"
"ODONTOLOGIC Clínica Dental","Ciudad de México","Valladolid 72, Cuauhtémoc 06700","525549002475","525549002475","https://www.doctoralia.com.mx/clinicas/odontologic-clinica-dental","","PENDING"
"Olivia Ibañez Especialista Dental","Ciudad de México","Avenida Paseo de las Palmas 250, Miguel Hidalgo 11000","525543841990","525543841990","https://www.doctoralia.com.mx/clinicas/olivia-ibanez-especialista-dental","","PENDING"
