nombre,ciudad,pais,direccion,telefono,whatsapp,web,google_maps_url,estado
"Dr. Franco Tennina – Endocrinología","Buenos Aires","Argentina","Virrey Arredondo 2474, C1426DZF Cdad. Autónoma de Buenos Aires","0111560064188","0111560064188","https://francotennina-ops.github.io/","https://www.google.com/maps/place/Dr.+Franco+Tennina+%E2%80%93+Endocrinolog%C3%ADa/data=!4m7!3m6!1s0x95bcb5d6f648cae3:0x6b9ade75f35d0864!8m2!3d-34.568014!4d-58.451292!16s%2Fg%2F11z83vb3zk!19sChIJ48pI9ta1vJURZAhd83Xemms?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Halitus Instituto Médico","Buenos Aires","Argentina","Marcelo Torcuato de Alvear 2084, C1122AAF Cdad. Autónoma de Buenos Aires","01152732000","01152732000","http://www.halitus.com/","https://www.google.com/maps/place/Halitus+Instituto+M%C3%A9dico/data=!4m7!3m6!1s0x95bcca95d3aee221:0x13cdb93b20f3cd44!8m2!3d-34.59735!4d-58.397213!16s%2Fg%2F11c6lw612t!19sChIJIeKu05XKvJURRM3zIDu5zRM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Daireaux Nutricion - Palermo","Buenos Aires","Argentina","Av. Cerviño 4671, C1425 Cdad. Autónoma de Buenos Aires","01133484497","01133484497","http://daireauxnutricion.com.ar/","https://www.google.com/maps/place/Daireaux+Nutricion+-+Palermo/data=!4m7!3m6!1s0x95bcb5714de1b477:0xaaaa95676fa9d1e4!8m2!3d-34.5750535!4d-58.4230172!16s%2Fg%2F11j7zrwk83!19sChIJd7ThTXG1vJUR5NGpb2eVqqo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Nutricionista Lic.Natalia Antar dietista Consultorio CABA","Buenos Aires","Argentina","Güemes 4255, C1425 Cdad. Autónoma de Buenos Aires","0111562667956","0111562667956","https://equilibriomio.com.ar/nutricionista/","https://www.google.com/maps/place/Nutricionista+Lic.Natalia+Antar+dietista+Consultorio+CABA/data=!4m7!3m6!1s0x95bcb51236d643f1:0xe23b445241562c5c!8m2!3d-34.5836576!4d-58.4206226!16s%2Fg%2F11svpdygxg!19sChIJ8UPWNhK1vJURXCxWQVJEO-I?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Centro Jose Maldonado","Buenos Aires","Argentina","Av. Sta. Fe 3312 Piso 12 Dto B, C1425 Cdad. Autónoma de Buenos Aires","01154024028","01154024028","https://www.turnera.com.ar/plataforma/reservar/cm/fb745f9e-acfb-4e5a-80e0-092763154021","https://www.google.com/maps/place/Centro+Jose+Maldonado/data=!4m7!3m6!1s0x95bccb56d9cf9d35:0xe6445859fb609049!8m2!3d-34.5880282!4d-58.4118554!16s%2Fg%2F11j3hsbtdb!19sChIJNZ3P2VbLvJURSZBg-1lYROY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"NutricionbyAgus","Buenos Aires","Argentina","Palermo, Av. Córdoba 5869, 1414 Buenos Aires","01127280797","01127280797","","https://www.google.com/maps/place/NutricionbyAgus/data=!4m7!3m6!1s0x95bcb5d4bd6e08a3:0x1adfaeb675d0e809!8m2!3d-34.5853848!4d-58.4428634!16s%2Fg%2F11gf8g3bn8!19sChIJowhuvdS1vJURCejQdbau3xo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"SM Odontología","Buenos Aires","Argentina","Av. Córdoba 2077, C1120 Cdad. Autónoma de Buenos Aires","27590154","27590154","https://sm-odontologia.com/","https://www.google.com/maps/place/SM+Odontolog%C3%ADa/data=!4m7!3m6!1s0x95bccb55cfc12fef:0x3cb4a49deef0ef1c!8m2!3d-34.599518!4d-58.396884!16s%2Fg%2F11kdcs0jkw!19sChIJ7y_Bz1XLvJURHO_w7p2ktDw?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Protección Dental Villa Crespo","Buenos Aires","Argentina","Luis María Drago 69, C1414 Cdad. Autónoma de Buenos Aires","01134203635","01134203635","https://protecciondental.com/","https://www.google.com/maps/place/Protecci%C3%B3n+Dental+Villa+Crespo/data=!4m7!3m6!1s0x95bccba72bf81ec5:0xfc8576fac2e8c3b8!8m2!3d-34.603234!4d-58.435353!16s%2Fg%2F11j8q17x7p!19sChIJxR74K6fLvJURuMPowvp2hfw?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Dental Palermo","Buenos Aires","Argentina","Charcas 3127, C1425BMM Cdad. Autónoma de Buenos Aires","01137945890","01137945890","http://www.dentalpalermo.com.ar/","https://www.google.com/maps/place/Dental+Palermo/data=!4m7!3m6!1s0x95bcca8448fed9e1:0x9eec86ae3824a77b!8m2!3d-34.5926433!4d-58.4098837!16s%2Fg%2F1tgyxxdd!19sChIJ4dn-SITKvJURe6ckOK6G7J4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
"Odontología Palermo","Buenos Aires","Argentina","Juan Francisco Seguí 4646, C1425 Cdad. Autónoma de Buenos Aires","01166884646","01166884646","https://www.odontopalermo.com/","https://www.google.com/maps/place/Odontolog%C3%ADa+Palermo/data=!4m7!3m6!1s0x95bcb59ec59295b9:0xd822e13c10607646!8m2!3d-34.5734114!4d-58.4220143!16s%2Fg%2F11f04q5n0h!19sChIJuZWSxZ61vJURRnZgEDzhItg?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","PENDING"
