nombre,ciudad,direccion,telefono,whatsapp,web,google_maps_url,estado
"Palermo Medicina Estética","Buenos Aires","Av. Sta. Fe 3192 piso 3 B, C1425 Cdad. Autónoma de Buenos Aires","01155813085","01155813085","http://palermomedicinaestetica.com/","https://www.google.com/maps/place/Palermo+Medicina+Est%C3%A9tica/data=!4m7!3m6!1s0x95bcca8174e9d297:0x5507ef5edb67c211!8m2!3d-34.5892315!4d-58.4100841!16s%2Fg%2F11bbrl3t_g!19sChIJl9LpdIHKvJUREcJn217vB1U?authuser=0&hl=es-419&rclk=1","PENDING"
"Estetica Palermo","Buenos Aires","Arenales 3426 PB A, C1425 Cdad. Autónoma de Buenos Aires","01144276819","01144276819","http://www.esteticapalermo.com/","https://www.google.com/maps/place/Estetica+Palermo/data=!4m7!3m6!1s0x95bcca821e8bffff:0xad18dffa2be7b7b!8m2!3d-34.5870767!4d-58.4114881!16s%2Fg%2F11c40q5hjs!19sChIJ__-LHoLKvJURe3u-ov-N0Qo?authuser=0&hl=es-419&rclk=1","PENDING"
"Dra. María Lucchesi Medicina Estética","Buenos Aires","Av. Cerviño 3527, C1425 Cdad. Autónoma de Buenos Aires","0111567934321","0111567934321","http://www.dramarialucchesi.com/","https://www.google.com/maps/place/Dra.+Mar%C3%ADa+Lucchesi+Medicina+Est%C3%A9tica/data=!4m7!3m6!1s0x95bcb57b81cd4895:0xb35f4ff49485199d!8m2!3d-34.5801706!4d-58.4087956!16s%2Fg%2F11c4bgywhz!19sChIJlUjNgXu1vJURnRmFlPRPX7M?authuser=0&hl=es-419&rclk=1","PENDING"
"Palermitas","Buenos Aires","Billinghurst 1784, C1425DTJ Cdad. Autónoma de Buenos Aires","0111564839310","0111564839310","https://sites.google.com/view/palermitas","https://www.google.com/maps/place/Palermitas/data=!4m7!3m6!1s0x95bccb677ca01379:0x9cb1553fd1eb0c66!8m2!3d-34.5897364!4d-58.4098839!16s%2Fg%2F11f6y7fb0p!19sChIJeROgfGfLvJURZgzr0T9VsZw?authuser=0&hl=es-419&rclk=1","PENDING"
"Masajes , Tratamientos Estéticos y Dermatológicos en Palermo CABA. ESENCIA","Buenos Aires","Av. Sta. Fe 3233, C1425 Cdad. Autónoma de Buenos Aires","01122526795","01122526795","https://www.masajesyesteticaesencia.com.ar/sucursal-alto-palermo/","https://www.google.com/maps/place/Masajes+,+Tratamientos+Est%C3%A9ticos+y+Dermatol%C3%B3gicos+en+Palermo+CABA.+ESENCIA/data=!4m7!3m6!1s0x95bcb5ad0d447311:0x35949a55d907b65e!8m2!3d-34.5885289!4d-58.4105801!16s%2Fg%2F11p64c0mbc!19sChIJEXNEDa21vJURXrYH2VWalDU?authuser=0&hl=es-419&rclk=1","PENDING"
"Estética Rouse Depilación Láser Definitiva - HIFU y Liposonix última tecnología - Fáciales - Lifting y Laminado y mucho más..","Buenos Aires","Av. Sta. Fe 3389, C1425 Cdad. Autónoma de Buenos Aires","01171458347","01171458347","http://app3.doyturnos.com/esteticarouse","https://www.google.com/maps/place/Est%C3%A9tica+Rouse+Depilaci%C3%B3n+L%C3%A1ser+Definitiva+-+HIFU+y+Liposonix+%C3%BAltima+tecnolog%C3%ADa+-+F%C3%A1ciales+-+Lifting+y+Laminado+y+mucho+m%C3%A1s../data=!4m7!3m6!1s0x95bccbdf6f10ae63:0xe539b337a2eb49d9!8m2!3d-34.5869461!4d-58.4127!16s%2Fg%2F11sxm5vv5n!19sChIJY64Qb9_LvJUR2UnrojezOeU?authuser=0&hl=es-419&rclk=1","PENDING"
"Sensoria Estética & Spa","Buenos Aires","Av. Medrano 1877, C1425GDE Cdad. Autónoma de Buenos Aires","01148244330","01148244330","http://www.sensoria.com.ar/","https://www.google.com/maps/place/Sensoria+Est%C3%A9tica+%26+Spa/data=!4m7!3m6!1s0x95bcca8079b8bc8f:0xdac0a8dbec969198!8m2!3d-34.5897441!4d-58.4172669!16s%2Fg%2F11c5261l2s!19sChIJj7y4eYDKvJURmJGW7NuowNo?authuser=0&hl=es-419&rclk=1","PENDING"
"Amarla Bioestética","Buenos Aires","Nicaragua 4716, C1425 Cdad. Autónoma de Buenos Aires","01161655466","01161655466","https://wa.me/message/DPCZ7UOWDH3PF1","https://www.google.com/maps/place/Amarla+Bioest%C3%A9tica/data=!4m7!3m6!1s0x95bcb52dfc1cd381:0x5d35f3117074bb7e!8m2!3d-34.5873259!4d-58.4264301!16s%2Fg%2F11gjq1t9nj!19sChIJgdMc_C21vJURfrt0cBHzNV0?authuser=0&hl=es-419&rclk=1","PENDING"
"Centro de Estética - Zelaya Beauty","Buenos Aires","Posadas 1423, C1011ABI Cdad. Autónoma de Buenos Aires","0111531393007","0111531393007","https://zelayabeauty.com/","https://www.google.com/maps/place/Centro+de+Est%C3%A9tica+-+Zelaya+Beauty/data=!4m7!3m6!1s0x95bccacf5001374b:0x217845544adbbdb4!8m2!3d-34.587894!4d-58.386269!16s%2Fg%2F11bxjp58x7!19sChIJSzcBUM_KvJURtL3bSlRFeCE?authuser=0&hl=es-419&rclk=1","PENDING"
"Clínica Milito","Buenos Aires","Av. Gral. Las Heras 1628, C1018 Cdad. Autónoma de Buenos Aires","01148140050","01148140050","http://www.clinicamilito.com/","https://www.google.com/maps/place/Cl%C3%ADnica+Milito/data=!4m7!3m6!1s0x95bccbcc0c5858a3:0xc32c229253385937!8m2!3d-34.593211!4d-58.390512!16s%2Fg%2F11s7rl_g66!19sChIJo1hYDMzLvJURN1k4U5IiLMM?authuser=0&hl=es-419&rclk=1","PENDING"
